symbol,date,open,high,low,close
MSFT,2026-01-16 16:10:00,460.1300,460.3000,459.8600,460.0500
MSFT,2026-01-16 16:05:00,459.9016,460.4100,459.8600,460.0700
MSFT,2026-01-16 16:00:00,459.8600,460.3800,459.5000,459.9100
MSFT,2026-01-16 15:55:00,460.2000,460.5900,459.5000,459.8700
MSFT,2026-01-16 15:50:00,460.9400,461.0600,459.4200,460.2100
MSFT,2026-01-16 15:45:00,460.8900,460.9900,460.5000,460.9100
MSFT,2026-01-16 15:40:00,461.3000,461.4000,460.8600,460.9100
MSFT,2026-01-16 15:35:00,461.2299,461.5599,460.9700,461.3225
MSFT,2026-01-16 15:30:00,461.1900,461.4900,460.9200,461.2000
MSFT,2026-01-16 15:25:00,461.3000,461.3300,461.0750,461.2101
MSFT,2026-01-16 15:20:00,461.6150,461.7443,461.2000,461.2701
MSFT,2026-01-16 15:15:00,461.6925,461.7150,461.1200,461.6000
MSFT,2026-01-16 15:10:00,461.6900,461.9050,461.5400,461.7200
MSFT,2026-01-16 15:05:00,461.9500,462.1700,461.4800,461.7000
MSFT,2026-01-16 15:00:00,462.1850,462.4000,461.8300,461.9100
MSFT,2026-01-16 14:55:00,462.6100,462.7200,461.9800,462.1850
MSFT,2026-01-16 14:50:00,462.4200,462.7300,462.2600,462.6900
MSFT,2026-01-16 14:45:00,462.2200,462.6900,462.2200,462.4500
MSFT,2026-01-16 14:40:00,462.3800,462.5600,462.0700,462.1900
MSFT,2026-01-16 14:35:00,462.4800,462.6100,461.9700,462.3800
MSFT,2026-01-16 14:30:00,461.9600,462.4999,461.9400,462.4600
MSFT,2026-01-16 14:25:00,461.9000,462.0240,461.6200,461.9600
MSFT,2026-01-16 14:20:00,461.5300,461.9300,461.5100,461.9000
MSFT,2026-01-16 14:15:00,462.1450,462.2000,461.3700,461.5400
MSFT,2026-01-16 14:10:00,462.8250,462.8250,461.9600,462.1450
MSFT,2026-01-16 14:05:00,462.7540,462.9500,462.6900,462.8250
MSFT,2026-01-16 14:00:00,462.4300,462.7800,462.2801,462.7799
MSFT,2026-01-16 13:55:00,462.3600,462.5500,462.3000,462.4408
MSFT,2026-01-16 13:50:00,462.3300,462.5600,462.1100,462.3600
MSFT,2026-01-16 13:45:00,462.3971,462.6166,462.2000,462.3284
MSFT,2026-01-16 13:40:00,462.6350,462.7400,462.0950,462.3800
MSFT,2026-01-16 13:35:00,462.9500,463.1900,462.6200,462.6400
MSFT,2026-01-16 13:30:00,462.4900,463.0400,462.1900,462.9899
MSFT,2026-01-16 13:25:00,462.7100,462.9200,462.3000,462.5300
MSFT,2026-01-16 13:20:00,461.9900,462.7300,461.8700,462.7059
MSFT,2026-01-16 13:15:00,461.6200,462.0100,461.5700,462.0000
MSFT,2026-01-16 13:10:00,461.9900,462.0000,461.5200,461.6450
MSFT,2026-01-16 13:05:00,461.4800,462.0500,461.3600,462.0100
MSFT,2026-01-16 13:00:00,461.1600,461.5400,461.0301,461.4850
MSFT,2026-01-16 12:55:00,461.0600,461.2600,461.0300,461.1500
MSFT,2026-01-16 12:50:00,460.9400,461.1050,460.7700,461.0850
MSFT,2026-01-16 12:45:00,461.1250,461.2400,460.8400,460.9400
MSFT,2026-01-16 12:40:00,460.9000,461.1400,460.8000,461.1250
MSFT,2026-01-16 12:35:00,461.0100,461.2400,460.8500,460.9150
MSFT,2026-01-16 12:30:00,460.6100,461.0400,460.1200,461.0217
MSFT,2026-01-16 12:25:00,460.3950,460.7700,460.0800,460.6100
MSFT,2026-01-16 12:20:00,460.9400,461.2000,460.3800,460.3800
MSFT,2026-01-16 12:15:00,461.1950,461.2300,460.8400,460.9450
MSFT,2026-01-16 12:10:00,460.9400,461.3550,460.9301,461.1900
MSFT,2026-01-16 12:05:00,461.2250,461.7000,460.9750,461.0000
MSFT,2026-01-16 12:00:00,461.1400,461.6000,461.0490,461.2600
MSFT,2026-01-16 11:55:00,462.0000,462.0250,460.9100,461.1420
MSFT,2026-01-16 11:50:00,461.5750,462.3000,461.4401,461.9900
MSFT,2026-01-16 11:45:00,461.0600,461.6700,461.0401,461.6000
MSFT,2026-01-16 11:40:00,460.8300,461.3200,460.7075,461.0548
GOOGL,2026-01-16 19:55:00,329.5500,329.6000,329.5000,329.5500
GOOGL,2026-01-16 19:50:00,329.5700,329.6100,329.5000,329.5400
GOOGL,2026-01-16 19:45:00,329.6000,329.7200,329.5000,329.5200
GOOGL,2026-01-16 19:40:00,329.5500,329.7500,329.5500,329.6000
GOOGL,2026-01-16 19:35:00,329.5810,329.7500,329.5500,329.5588
GOOGL,2026-01-16 19:30:00,329.7600,329.8200,329.5600,329.6500
GOOGL,2026-01-16 19:25:00,329.7500,329.7800,329.6000,329.7500
GOOGL,2026-01-16 19:20:00,329.6400,329.7800,329.5900,329.7600
GOOGL,2026-01-16 19:15:00,329.5989,329.7500,329.5600,329.6200
GOOGL,2026-01-16 19:10:00,329.8300,329.8300,329.5200,329.6000
GOOGL,2026-01-16 19:05:00,329.6700,329.8800,329.5000,329.8610
GOOGL,2026-01-16 19:00:00,329.7300,329.8800,329.6700,329.6700
GOOGL,2026-01-16 18:55:00,329.8000,329.9800,329.6460,329.7300
GOOGL,2026-01-16 18:50:00,329.6800,329.9026,329.5000,329.6972
GOOGL,2026-01-16 18:45:00,329.6888,329.6900,329.5000,329.6606
GOOGL,2026-01-16 18:40:00,329.8300,330.1000,329.4600,329.6900
GOOGL,2026-01-16 18:35:00,329.8300,330.1000,329.7300,329.8200
GOOGL,2026-01-16 18:30:00,330.0700,330.0700,329.7212,329.8400
GOOGL,2026-01-16 18:25:00,330.0000,330.1000,330.0000,330.0900
GOOGL,2026-01-16 18:20:00,329.9900,330.1000,329.9700,330.0000
GOOGL,2026-01-16 18:15:00,330.0900,330.0900,329.7075,329.9925
GOOGL,2026-01-16 18:10:00,330.0100,330.1000,329.8000,330.0800
GOOGL,2026-01-16 18:05:00,330.0100,330.0800,329.9200,330.0000
GOOGL,2026-01-16 18:00:00,330.1000,330.1000,329.9200,330.0200
GOOGL,2026-01-16 17:55:00,330.0000,330.1000,329.9800,330.0500
GOOGL,2026-01-16 17:50:00,330.0000,330.0900,329.9501,330.0865
GOOGL,2026-01-16 17:45:00,330.0600,330.0900,306.1500,330.0000
GOOGL,2026-01-16 17:40:00,330.0700,330.1000,330.0000,330.0600
GOOGL,2026-01-16 17:35:00,330.0700,330.1000,330.0000,330.0700
GOOGL,2026-01-16 17:30:00,330.0600,330.0900,330.0000,330.0700
GOOGL,2026-01-16 17:25:00,330.0700,330.0900,330.0000,330.0700
GOOGL,2026-01-16 17:20:00,330.1000,330.1400,330.0000,330.0600
GOOGL,2026-01-16 17:15:00,330.0692,330.1400,329.9900,330.1000
GOOGL,2026-01-16 17:10:00,329.9985,330.1400,329.9000,330.0700
GOOGL,2026-01-16 17:05:00,330.0000,330.0900,329.8600,329.9700
GOOGL,2026-01-16 17:00:00,330.0200,330.0500,329.9600,330.0000
GOOGL,2026-01-16 16:55:00,330.0000,330.0400,329.9600,330.0400
GOOGL,2026-01-16 16:50:00,329.9800,330.0400,329.7100,330.0000
GOOGL,2026-01-16 16:45:00,330.0000,330.0300,329.9600,329.9800
GOOGL,2026-01-16 16:40:00,329.9900,330.0200,329.9600,330.0000
GOOGL,2026-01-16 16:35:00,329.9800,330.0100,329.9500,329.9600
GOOGL,2026-01-16 16:30:00,329.9700,330.0100,329.9500,329.9987
GOOGL,2026-01-16 16:25:00,329.9800,330.0200,329.9500,329.9800
GOOGL,2026-01-16 16:20:00,330.0500,330.1500,329.9500,329.9800
GOOGL,2026-01-16 16:15:00,330.0400,330.1300,329.9700,330.0000
GOOGL,2026-01-16 16:10:00,329.9800,330.0700,329.8800,330.0000
GOOGL,2026-01-16 16:05:00,330.0000,330.0800,329.9707,330.0000
